 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Na chudy musi bejt prisnost.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tereza Vojtíšková Ale no tak 😃 Ten co dostal natvrdo za rohlíky byla smažka co měla trestní rejstřík jak toaletní papír...;Hateful speech;Other;Not targeting;FALSE;FALSE
ČT;Sug Madic měl podmínky za jiné činy. O tom se nemluví. Ale že Babiš zneužil dotace je pravda;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Roman Poláček to nemění vůbec nic na tom, že je to nefér;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Roman Poláček To nepopírám. Ale prostě podmínka a peněžitej trest je stejně absurdní, jako jít si sednout za krádež rohlíku (i když je to opakovaný zločin).;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nicolas Kajnar Mění a dost... Taková smažka by měla mít doživoti, protože náprava evidetně není možná....;Hateful speech;Other;Not targeting;FALSE;FALSE
ČT;Tereza Vojtíšková Není....  Tyhle smažky by se měli zavírat na doživotí, protože evidetně není náprava možná....;Hateful speech;Other;Not targeting;FALSE;FALSE
ČT;Roman Poláček asi budu radši respektovat smažku, co ukradle rohlíky, než politika, který ukradl několik milionů.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nicolas Kajnar Tak se pak nedivte až na Vás půjde s kudlou v parku...  Jinak dotace už byla dávno vrácena, takže vlastně nic škoda byla nahrazena...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sylvie Horská Němcovou ale nezavřeli, ta je v Senátu.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sylvie Horská vtipne je ze nejvetsi flastenci povazuji za spravne, aby oni za rohliky dostali dva roky a jejich guru estebak bures nejlepe vyvazl.;Hateful speech;Candidate - Babiš;Other;TRUE;FALSE
ČT;Sylvie Horská jo dobře mu tak já kdyby mi někdo ukradl rohlík tak ho umlátím kladivem!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sylvie Horská k smíchu jsi ty-nic nechápeš.;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Stím naděláte ...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ilona Taxová Chiffon hezky jste vystihla Babišovu kampaň na prezidenta. 👍;Supportive speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Dyt to je nane podvod od 5koalice Fialovnikova zrada pro volbu prezidenta a niceni Babise z Capim hnizdem a stretem zajmu !;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jindrich Jirsa Ničení Babiše Babišem, nebylo by to před volbou prezidenta, ale před několika lety, kdyby Babiš před soudem neutikal.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jindrich Jirsa A co dělá Fiala za krádež?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš je lhář a manipulátor. 🤮;Hateful speech;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Tomáš Pospíšil Vidím, že jsem přispěla s odkazem pozdě. Pan Bartkovský je můj hrdina.;Supportive speech;Journalists or media professionals;Not targeting;FALSE;FALSE
ČT;Andrej aby už pomalu začal balit tepláky;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sylvie Horská cože ? Ten kripl co kradl rohlíky věděl že je nouzový stav a věděl do čeho jde a co mu hrozí . Udělal to stejně 💁🏻‍♂️tak ať si to vyžere;Hateful speech;Other;Not targeting;FALSE;TRUE
ČT;Vojtěch Matěj už žádná komedie už jen rozsudek;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už běžte do pr...s tím Čapím hnízdem...stejně na něj nemáte...akorát si z vás dělá srandu....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Petr Machač Sam si běžte... 😀;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tak ještě aby souhlasil...hm a paní má fanouška Babiše,paní je populární asi..ostatní asi spíš fandí jemu (bohužel);Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Který 🤔 přeci má 2 🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;ANOisticka fraška a výsměch....jak jinak v této zemi...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ať už jsou ty volby;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
