"V1","comment_text","Rhetoric","Main targeted group","Secondary targeted group","Pejorative framing of communism","Vulgar language","word_count"
"SZ","škoda, jejich cesta od Havla k Baštovi by ukazovala jejich mentální úpadek docela dobře ....","Trolling","Other","Candidate - Bašta",FALSE,FALSE,15
"SZ","Já bych jen dodala,že Eva Holubová a Jan Kraus se angažovali již při první volbě MZ prezidentem-teď to negují!!!!Jiřina Bohdalová a Lucie Bílá s láskou objímaly snad všechny prezidenty???","Trolling","Other","Not targeting",FALSE,FALSE,29
"SZ","Božena Skalická Holubová snad Zemana nepodporovala, nebo mi něco uniklo...?","Supportive speech","Other","Not targeting",FALSE,FALSE,10
"SZ","Vtipy Určitě uniklo!!!!!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Božena Skalická Holubová, Zemana? Opravdu? Nepletete si to jenom s tím jejím slavným nápisem na tabuli...? 😉","Supportive speech","Other","Not targeting",FALSE,FALSE,17
"SZ","Vtipy no samozřejmě že nepodporovala - naopak s dalšími ""vyvolenými"" tukany - uměleckou frontou se semkli v šou dva tři jé krause a vyjádřili stanovisko - vévodil tomu tukan ledecký - všichni proti tukanovi zemanovi 😃","Trolling","Other","Not targeting",FALSE,FALSE,36
"SZ","Eva Horáková Já si to velmi živě pamatuji-pak otočili!!!!!!","Trolling","Other","Not targeting",FALSE,FALSE,9
"SZ","Prokop Diviš kdo podporuje Babiše,  neumí se stydět.","Trolling","Other","Not targeting",FALSE,FALSE,8
"SZ","Tomas Brablc vítěze","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Ta svině udělá za prachy cokoliv. Ta už prolezla všechny hradní prdele od Husáka, přes Jakeše, Štěpána, Havla, Klause až do Zemana. Teď už jen aby se připravila na další.","Hateful speech","Other","Not targeting",TRUE,TRUE,30
"SZ","Tomas Brablc  STB","Hateful speech","Other","Not targeting",TRUE,FALSE,3
"SZ","Bohdalová je mazaná jak liška! Ta není tak blbá, jako ti, které nechci jmenovat, protože je všechny známe. Je jí devadesát a stále hraje! Zato takový Hrušínský po volbách zkrachuje a všichni se na něj vykašlou. Jen debil si dělá škodu tím ,že pomlouvá ty , co ho živí v domnění, že on je ten pravý! Pravý je ...ale blbec a tak už si ho zaškatulkuje celý národ. Všechny ty rádoby umělce, kteří opovrhovali národem budou odepsaní a ani pes si od nich kůrku chleba nevezme!","Hateful speech","Other","Not targeting",FALSE,TRUE,86
"SZ","Božena Skalická Holubová snad Zemana nepodporovala, nebo mi něco uniklo...?","Supportive speech","Not targeting","Not targeting",FALSE,FALSE,10
"SZ","Paní Rákosníčková podpoří toho , který nebude šetřit na bohatých recepcích kde bude spousty vybraných pokrmů. Však něco se musí nabalit i domů🤣","Hateful speech","Other","Not targeting",FALSE,FALSE,23
"SZ","František Novák 👍","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Josef Atwa Dolecek Ringo je co se týče politických preferencí vcelku blouznivec. Vytrolil...? 😉","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,14
"SZ","Vtipy to že je blouznivec nerozporuju, ale pisateli clanku zrejme nedosla pointa","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,12
"SZ","","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,0
"SZ","Vtipy Určitě uniklo!!!!!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Trestní zákoník ČÁST DRUHÁ HLAVA X Díl 8 § 366 § 366 Nadržování (1) Kdo pachateli trestného činu pomáhá v úmyslu umožnit mu, aby unikl trestnímu stíhání, trestu nebo ochrannému opatření nebo jejich výkonu, bude potrestán odnětím svobody až na čtyři léta; pomáhá-li však takto pachateli trestného činu, na který trestní zákon stanoví trest mírnější, bude potrestán oním trestem mírnějším.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,60
"SZ","Fialuv novorocni projev 2023.docx – Word, 21 kB StáhnoutZobrazit › Hodnocení vánočního projevu M Zemana 261222.doc – Word, 39 kB StáhnoutZobrazit ›","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,22
"SZ","Bohdalová se muchlovala s každým který se dostal ke korytu. Možná vynikající herečka, ale jako člověk?? Bezpáteřní,úlisný mlok který vleze do každé prdele kde vidí prospěch.","Hateful speech","Other","Not targeting",FALSE,TRUE,26
"SZ","Richard Černý radši nerozklikávejte ten link - z té strašlivé fotografie by se vám mohlo udělat nevolno (jako mně) ... moc bych teď potřebovala ten mazač paměti z Men in black","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,31
"SZ","Jakože pisatel nepochopil, že mu Čech nahlásil fiktivní postavu? Spíš pochopil, jen tu třeskutou legraci dál nekomentoval.","Supportive speech","Journalists or media professionals","Not targeting",FALSE,FALSE,17
"SZ","Daniel E. Hebraud Juran JE..","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","www.cz24.news      www.prvnizpravy.cz","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,2
"SZ","Tom Březina pokud nevíš, neznáš či jen nemáš doma dostupnou literaturu, použij služeb Google. A něco si přečti o tomhle fenoménu . Ať nejsi mezi znalci tohoto problému za obyčejného idiota. 🤭🤭🤭","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,32
"SZ","Bohuslav Válek no spíš bych to poradil tobě, abys pak nebyl překvapený, že ti děti chodí venčit psa na hrob, za to, žes podporoval nacisty a byl tak idiot, jen ne obyčejný, ale užitečný...","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,34
"SZ","Tom Březina moc se mýlíš blbečku. Jen si hloupý jak tvůj  falešný profil. Vůbec ani netušíš o čem píšeš. Na seznamu nepsali, viď ? 😄😄😄","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,25
"SZ","Bohuslav Válek Njn bez argumentů, jako každá proruská lůza...","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,9
"SZ","Josef Atwa Dolecek To nedošla ani mě. A to jsem Záhadu hlavolamu viděl alespoň zfilmovanou... 🙄","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,16
"SZ","Božena Skalická Holubová, Zemana? Opravdu? Nepletete si to jenom s tím jejím slavným nápisem na tabuli...? 😉","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,17
"SZ","Tom Březina zase jsi jen potvrdil že jsi jen naprosto hloupý a neznalý idiot, který ani nechápe co čte.   Na rozdíl od tebe mám soužití s Rusem za zády za sebou.  Tak za 1. Nikde ani písmenkem jsem žádného rusa nepodpořil. Za 2. Jen jsem ti napsal že nevíš co píšeš, neboť za mák ničemu nerozumíš. Sám si jen obyčejná neznalá  lůza. Studuj.  Pak dej vědět, až budeš něco o tomto problému něco znát.","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,74
"SZ","Bohuslav Válek Snad se necítíš provinile.Na tebe je studovány každý dost...","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,11
"SZ","Tomas Brablc Zemana...","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Tohle je přesně typ článku, co rozděluje společnost nejvíc, pardon. Si tady teď všichni budem hrát na jasnovidce, ne?  Pamatuju když jsem v roce 2012 četl rozhovor se Zemanem pro studenstský noviny VŠE. Tou dobou jsem měl tak nějak dost toho co a jak se tam učím, takže jsem čekal, že se akorát naštvu. ...a k mému překvapení šlo o inteligentní článek plný zdravého kritického myšlení. Šťouchance tam byly, ale nebyly to ty odporný toxický urážky kterejma proslul v podstatě hned po zvolení. O Rusku ani zmínka, jestli mě paměť neklame tak i Vencovi tam do zadku nijak extra nelez. Nemít tenkrát jinýho favorita, tak bych ho v prvním kole dost možná i volil. (A vybod se na něj hned v tom druhym, kdy během TV debaty na Primě řekl na plnou tlamu Schwarzenbergovi, že je degenerovanej.) ... takhle nejasně působil na kde koho a my se teď budem zaobírat tim, co kde jaký vyjádření o podpoře značí o charakteru člověka? Tvl notak. 🤦‍♂️","Constructive engagement","Fellow commenters","Not targeting",FALSE,TRUE,164
"SZ","Martin Koťátko Že občas měl nějaký rozhovor, ve kterém se na první dobrou neprojevoval jako debil, neznamená, že to lidská a morální sprostá zrůda není. Což měl samozřejmě možnost prokouknout od roku 89, kdy se začal motat v politice, každý alespoň průměrně inteligentní člověk. Inteligence opravdu není všechno....","Hateful speech","Other political subjects","Not targeting",FALSE,TRUE,48
"SZ","Vtipy Losnu = vylosuje imho 🤷‍♂️","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,6
"SZ","Kazuki Satou Bohdalka vždycky ví, kudy běží zajíc.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","Rozhodujete se ve volbách podle doporučení oblíbené celebrity? Ne, ale už jsem hodně ""celebrit"" za jejich lukrativní politické techtle mechtle (lidově řečeno vychcanost) zavrhla (třeba pana ""fungujeto"") 😃","Trolling","Other","Not targeting",FALSE,TRUE,28
"SZ","Richard Černý radši nerozklikávejte ten link - z té strašlivé fotografie by se vám mohlo udělat nevolno (jako mně) ... moc bych teď potřebovala ten mazač paměti z Men in black","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,31
"SZ","Vtipy no samozřejmě že nepodporovala - naopak s dalšími ""vyvolenými"" tukany - uměleckou frontou se semkli v šou dva tři jé krause a vyjádřili stanovisko - vévodil tomu tukan ledecký - všichni proti tukanovi zemanovi 😃","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,36
"SZ","Vele Buddha přesně - takoví netuší, co je stud","Hateful speech","Other","Not targeting",FALSE,FALSE,9
"SZ","Daniel E. Hebraud Juran já kráva stará to taky rozklikla - a vůbec nevím proč, obvykle ty seznamácké hovadiny nechávám ladem - a už se zase dloooouho nespletu 😃","Hateful speech","Journalists or media professionals","Not targeting",FALSE,TRUE,29
"SZ","Aby ne, od hyen je lepší se držet dál. Hyeny jsou značně vyhládlé, sousta jako Mračková nebyla dostatečně výživná, a z Babiše zůstal jen balast. Tak se hodí i matka vražedkyně a sebevražedkyně nebo Jasoň Etzler.","Trolling","Other","Not targeting",FALSE,FALSE,36
"SZ","Tom Březina ale jdi ty hlupáčku. Naopak, já hloupej nejsem. Dej vědět až budeš vůbec alespoñ tušit že něco znáš. Zatím jsi stàle za idiota ty. A co Ježíšek? O tom by jsi mohl něco vědět. 🤭","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,37
"SZ","Tak koho bude volit Bohdalová, je celkem známé. On byla agentkou StB a protěžovaná komunistická ""umělkyně"", takže její volba logicky padne na Bureše. 🤮. Agenti drží spolu.","Hateful speech","Other","Candidate - Babiš",TRUE,FALSE,27
"SZ","Tomas Brablc ""Jiřinka""? To snad ne? Vžduť jako agentka StB byla nasazena na Jana Weiricha. 👎","Hateful speech","Other","Not targeting",TRUE,FALSE,16
"SZ","Martin Koťátko Že občas měl nějaký rozhovor, ve kterém se na první dobrou neprojevoval jako debil, neznamená, že to lidská a morální sprostá zrůda není. Což měl samozřejmě možnost prokouknout od roku 89, kdy se začal motat v politice, každý alespoň průměrně inteligentní člověk. Inteligence opravdu není všechno....","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,48
"SZ","Eva Horáková Já si to velmi živě pamatuji-pak otočili!!!!!!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,9
"SZ","Kazuki Satou Domnívám se, že jsem předvolební klipy pana Pavla viděla všechny, ale paní Bohdalovou jsem tam tedy nikde neviděla. Mohu se samozřejmě mýlit.","Constructive engagement","Other","Not targeting",FALSE,FALSE,24
"SZ","Mluviti stříbro, mlčeti zlato.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,4
"SZ","František Novák 👍","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Kazuki Satou Vložkou videa byla reklama na Mauntfíld!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","Sračky Seznamu, jako obvykle...","Hateful speech","Journalists or media professionals","Not targeting",FALSE,TRUE,4
"SZ","Copak, copak pisálku, oni ti odmítli sdělit koho budou volit? Ty si ale dovolují co?😀","Hateful speech","Journalists or media professionals","Not targeting",FALSE,TRUE,15
"SZ","havloidům*kám viditelně teče do bot","Trolling","Other","Not targeting",FALSE,FALSE,5
"SZ","Tom Lebr , blbe, stale stejna picovina od Tebe.","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,9
"SZ","Ten náš Péťa já to miluju. 🥰","Hateful speech","Other political subjects","Not targeting",FALSE,FALSE,7
"SZ","Červený Drak Péťa je na facku","Hateful speech","Other political subjects","Not targeting",FALSE,FALSE,6
"SZ","Červený Drak Jseš trapnej jak kolečka u snowboardu!","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,8
"SZ","Karel Mořický Senior já ne to Peťa.","Hateful speech","Other political subjects","Not targeting",FALSE,FALSE,7
"SZ","Červený Drak Nevím co se ti přesně stalo, ale moc mě mrzí.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,12
"SZ","Karel Mořický Senior nemusí já se jen bavím tou předvolební řečí. Možná by si měl Péťa od těch hoven utřít tím toaletním papírem koutky.","Hateful speech","Other political subjects","Not targeting",FALSE,TRUE,24
"SZ","Červený Drak Já se zase dobře bavím hloupostí trollů a dezolátů. Naštěstí je jich dost.","Trolling","Fellow commenters","Not targeting",FALSE,FALSE,15
"SZ","Karel Mořický Senior jasně, ještě jsem ruský šváb a makak. 👍","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,11
"SZ","Červený Drak Aha, a já myslel že drak.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","Karel Mořický Senior když chceš tak i drak. 👍","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,9
"SZ","Karel Mořický Senior ale to zklamání že ten Péťa vlastně lhal nic nepřekoná viď?","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,14
"SZ","Karel Mořický Senior Drak trpí pohnutím mysli v šestinedělí","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,9
"SZ","","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,0
"SZ","Frantisek Prouza smysl nedává ten odkaz. Řeč pronesená u soudu se nesmí přepisovat ale jen zapsat taková jak zazní.","Constructive engagement","Fellow commenters","Not targeting",FALSE,FALSE,19
"SZ","Josef Voráč a když by zapsaná řeč nedávala smysl? Což je u motýle normální..","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,14
"SZ","To jsou zase sracky TMBK zase nějaký srač placený pravicí......takové účty mají hned blokovat","Hateful speech","Journalists or media professionals","Not targeting",FALSE,TRUE,14
"SZ","Roman Vrba Že vy jste dostal pukem do hlavy, že? A nejednou...","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,12
"SZ","Asi tak Jindřich Němec 😂😂😂😂","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","Svědci Burešovi mají vyhlášený hnědý poplach🤣","Hateful speech","Candidate - Babiš","Not targeting",TRUE,FALSE,6
"SZ","Daniel Zabek tenhle hnědý poplach? 😀","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,6
"SZ","Roman Hertel Bingo👍","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,3
"SZ","Daniel Zabek","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,2
"SZ","Lada Brožová to už pan Fiala zapomněl.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,7
"SZ","Daniel Zabek jsme v pohodě. Hlavně žádnou paniku.😜","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","Jaroslav Bojko zadek neví co mluví tihle ukrofialovi signalisti z pětisračky se na víc nezmůžou !","Hateful speech","Fellow commenters","Other political subjects",FALSE,TRUE,16
"SZ","Jiří Huml tak tak 👍😀","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","Jiří Huml Vše nejlepší k tvým desátým narozeninám🥳","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,8
"SZ","Daniel Zabek proboha z čeho by měli mít poplach? Z podmínky? Směšné a jen se smějí výsledku, který z toho bude. Ať je jakýkoliv.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,24
"SZ","Bohumil Šaraj Takže ty rád šmíruješ cizí profily. To vysvětluje tvůj obdiv e estébákovi a dotačnímu podvodníkovi. Jsi vzorný Svědek Burešův🤣","Hateful speech","Fellow commenters","Candidate - Babiš",TRUE,FALSE,21
"SZ","Josef Voráč Svědci Burešovi mají poplach v diskusi, jak je zde ostatně vidět. Pravda, případné odsouzení k podmínce Svědkům Burešovým bude spíš imponovat, ti mu odpustí i kdyb před očima okradl jejích vlastní matku🤣","Trolling","Other","Not targeting",TRUE,FALSE,34
"SZ","Daniel Zabek co Bohumil Šaraj, taky kradeš jako Bureš?","Hateful speech","Fellow commenters","Candidate - Babiš",TRUE,FALSE,9
"SZ","Červený Drak Péťa je na facku","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,6
"SZ","To je kniha hříchů Stbáka?🤣","Hateful speech","Candidate - Babiš","Not targeting",TRUE,FALSE,5
"SZ","Daniel Zabek tenhle hnědý poplach? 😀","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,6
"SZ","Roman Hertel Bingo👍","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Roman Vrba Že vy jste dostal pukem do hlavy, že? A nejednou...","Trolling","Fellow commenters","Not targeting",FALSE,FALSE,12
"SZ","To je soupis lží? 🤣","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,5
"SZ","A já myslel, že nic nemůže mít menší hodnotu, než podělaný hajzlpapír. A ejhle, může. Hajzlpapír popsaný Babišovým projevem před soudem.","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,21
"SZ","Daniel Zabek","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,2
